comp1 100% (NBS)
comp2 85% (*Br2*)
comp3  82% (*Br2*)
comp4  74% (*SO2Cl2*)
comp5  89% (NBS)
comp6  88% (NBS)
comp7  97% (NIS, TFA)
comp8  84% (NBS)
comp9  73% (NBS)
comp10  40% (*Br2*)
comp11  88% (NBS)
comp13  34% (NBS)
comp14  70% (NBS)
comp15  42% (NBS)
comp16  71% (NBS)
comp17  72% (NBS)
comp18  97% (NBS)
comp19  94% (NBS)
comp20  80% (NBS)
comp21  93% (*Br2*, *K2CO3*)
comp22  88% (*Br2*)
comp23  69% (NBS)
comp24  91% (NBS)
comp25  100% (NBS, *NH4OAc*)
comp26  51% (NBS)
comp27  96% (NBS)
comp28  90% (NBS)
comp29  57% (NBS)
comp30  98% (NBS)
comp31  70% (NBS)
comp32  82% (*Br2*, *NaHCO3*)
comp33  95% (*Br2*, *NaHCO3*)
comp34  57% (*Br2*, *NaHCO3*)
comp35  96% (*Br2*)
comp36  87% (*Br2*)
comp38  86% (NBS), 95% (*Br2*)
comp39  55% (NBS), 59% (NBS)
comp40  99% (NBS)
comp41  100% (*Br2*)
comp43  56% (*Br2*)
comp48  68% (NBS)
comp49  79% (NBS), 78% (NBS)
comp50  90% (NBS)
comp51  55% (NBS)
comp52  93% (*Br2*, AcOH)
comp53  91% (NBS)
comp54  83% (NBS)
comp55  88% (NBS)
comp56  72% (NBS)
comp58  87% (NBS)
comp59  90% (NBS)
comp60  100% (NBS)
comp61  65% (NBS)
comp62  37% (*Br2*, AcOH)
comp64  96% (NBS)
comp66  85% (NBS), 93% (NCS)
comp67  96% (NBS), 63% (NIS), 73% (*HNO3*)
comp68  98% (NBS), 80% (NBS), 93% (*I2*)
comp69  80% (NBS), 83% (NBS)
comp70  90% (*Br2*, AcOH, NaOAc), 81% (5-Br; NBS), 73% (3,5-diBr; *Br2*), 80% (NBS)
comp71  85% (NBS)
comp73  30% (NBS)
comp74  76% (NBS)
comp75  87% (NBS)
comp76  80% (NBS)
comp77  90% (NBS)
comp78  82% (NBS), 93% (NIS)
comp79  90% (NBS, *NH4NO3*)
comp80  91% (NIS)
comp81  96% (NBS)
comp82  82% (NBS)
comp83  70% (NBS)
comp84  51% (NBS)
comp85  74% (NIS)
comp86  98% (NBS)
comp87  82% (NBS)
comp88  88% (*Br2*)
comp89  59% (NBS)
comp90  78% (*Br2*)
comp91  74% (NBS), 87% (*Br2*)
comp92  91% (NBS)
comp93  58% (NCS), 65% (NBS)
comp94  72% (NCS), 75% (NBS)
comp96  94% (NBS)
comp97  99% (NBS)
comp98  86% (NBS)
comp99  50% (*Br2*), 84% (*Br2*)
comp100  80% (*Br2*, KOAc)
comp101  82% (NCS), 73% (NBS), 97% (NIS)
comp102  86% (*Br2*)
comp103  74% (NCS), 94% (NBS), 100% (ICI, AcOH)
comp104  47% (*Br2*)
comp105  92% (*Br2*)
comp106  95% (*Br2*, AcOH)
comp107  79% (NBS)
comp108  82% (NBS), 5-Br 62% + 3,5diBr 12% (NBS), 72% (NBS), 90% (NBS); 83% (NBS), 77% (NBS)
comp109  66% (NBS)
comp111  75% (NIS)
comp112  69% (NBS)
comp113  41% (NBS)
comp114  75% (NBS)
comp115  87% (NBS), 60% (NIS)
comp116  100% (*Br2*, AcOH), 100% (*Br2*, NaOAc, AcOH)
comp117  73% (*Br2*, AcOH)
comp119  66% (NBS)
comp122  83% (NBS)
comp124  34% (NBS)
comp125  71% (NBS)
comp126  55% (NBS)
comp127  80% (NBS), 84% (NIS, TFA)
comp128  76% (NBS)
comp129  74% (NBS)
comp130  75% (Nal, NaOCl)
comp131  44% (NBS)
comp132  75% (NBS), 75% (NBS)
comp133  30% (NBS)
comp134  62% (NBS)
comp135  77% (NBS)
comp137  61% (*Br2*), 68% (NCS)
comp141  77% (NBS)
comp143  80% (NBS)
comp147  65% (*Br2*/NaOH)
comp149  80% (NBS)
comp150  78% (NBS)
comp154 89% (NBS), b 50% (NBS)
comp155 69% (*I2*)
comp156 58% (NBS)
comp157 50% (*HNO3*), 40% (NBS)
comp158 30% & 30% (NBS)
comp159 4-pos. 88% (NBS), 5-pos. 86% (NBS, *K2NO3*)
comp160 85% (NBS)
comp161 64% (NBS)
comp162 64% (NBS, *K2NO3*)
comp163 84% (NBS), 58% (NCS)
comp164 5-pos. 56%, 4+5-pos. 23% (NBS)
comp165 84% (NBS)
comp166 62% (*Br2*)
comp168 98% (*Br2*)
comp169 76% (NIS)
comp170 100% (NIS)
comp171 60% (NCS)
comp172 90% (NIS)
comp173 63% (NIS)
comp174 69% (NCS)
comp175 75% (NIS)
comp176 98% (NBS)
comp177 98% (*HNO3*)
comp178 79% (NBS)
comp179 75% (NBS)
comp180 77% (NBS)
comp181 96% (NIS)
comp182 81% (NBS)
comp184 83% (NBS)
comp186 96% (NIS)
comp187 67% (NBS)
comp188 96% (NIS)
comp189 98% (NBS)
comp190 59% (*Br2*), 76% also p-phenyl (*Br2*)
comp192 77% (NBS)
comp193 88% (NIS), 88% (NIS), 96% (NBS), 70% (*Br2*), 72% (NCS)
comp194 84% (NBS)
comp195 81% (NBS)
comp196 84% (NBS), 65% (NIS)
comp197 77% (NBS)
comp198 95% (NBS)
comp199 70% (NBS)
comp200 70% (*Br2*)
comp201 77% (NBS)
comp202 72% (NBS)
comp203 26%/26% (NBS) two mono-Br
comp204 74% (NBS)
comp205 84% (NBS)
comp206 78% (NBS)
comp207 74% (NBS)
comp209 86% (NBS)
comp211 45% (3-Br), 16% (5-Br), 10% (3+5-*Br2*)
comp212 15% (3-Br), 43% (5-Br), 88% (NIS), 2xBr 95% (NBS)
comp213 92%(NIS)
comp214 75% (NBS), 91% (NIS)
comp215 91% (NBS)
comp216 99% (*I2*, 4xI)
comp217 80% (NBS)
comp218 89% (NBS)
comp219 58% (a-to-OMe), 13% (a-to-N) NBS
comp220 90% (a-to-2xN), 9% regioisomer, *I2*
comp221 92% (*Br2*)
comp223 98% (NBS)
comp224 78% (NBS)
comp225 83% (*Br2*))
comp226 95% (NBS), 34% (2xBr) + 29% (4-Br) + 3% (3-Br) NBS, 76% (5-Br) + 11% (3-Br)
comp227 65% (NBS)
comp228 91% (*Br2*)
comp229 94% (*Br2*)
comp230 70% (NBS)
comp233 85% (NCS)
comp234 54% (*Br2*)
comp235 73% (3-pos), 11% (5-pos), NCS
comp236 80% (NBS)
comp237 32% (3-Cl) + 50% (5-Cl) NCS
comp238 a 61% (2xI, NIS), 73% (2xBr, NBS), b 90% (NIS), 71% (NBS))
comp239 80% (NBS)
comp241 66% (NBS)
comp242 59% (*Br2*)
comp243 90% (NBS), 86% (NCS))
comp244 80% (NBS)
comp245 91% (NBS)
comp246 71% (NBS)
comp247 100% (*Br2*)
comp248 95% (NBS)
comp249 88% (NBS)
comp250 93% (NBS)
comp251 52% (NBS)
comp252 85% (NCS then NBS)
comp253 2-Br 56%, 3-Br (*Br2*)
comp254 52% (NBS)
